CH2OOH;Hydroperoxymethyl; 73.26; 65.96
CH2(CHO);Oxiranyl;172.78; 164.5
HCC(O)H;Oxoethylidene; 261.1; 257.6
CH2CHOCH3;Methoxyethene; -89.3;-107.1
CH3CH(OH)CH3;2-Propanol;-248.6;-272.7
CH2C(O)OH;Carboxymethyl;-226.5;-236.4
CH3CNH;1-Iminoethyl; 233.1;   223
CH2CNH2;1-Aminoethenyl;294.71;286.08
HOOCl;Peroxyhypochlorous acid;  3.97;  -1.3
[Cl2]-;Dichloride;-231.91;-230.84
NCHN;Nitrilomethylimidogen; 581.6; 578.4
[CCCN]-;Cyanoacetylide; 300.4; 305.7
CCl;Chloromethylidyne;430.64;434.39
CH2(Cl)OH;Chloromethanol;-232.3;-242.6
CH2(Cl)O;Chloromethoxy; -11.9; -18.7
CCl3F;Fluorotrichloromethane;-283.23;-286.38
CHClO;Formyl chloride;-179.87;-183.07
ClCH2CH2OH;2-Chloroethanol;-249.78;-266.49
CCCCH;Butadiynyl; 801.9; 808.5
C6H4;o-Benzyne;468.25;459.33
C6H5I;Iodobenzene;178.62;162.64
O(CHCHCHCH);Furan;-21.38;-34.51
CH3C(OH)CH3;1-Hydroxy-1-methylethyl;-78.21;-96.46
CF2CHF;Trifluoroethene;-493.5;-498.5
CH2CHNC;Isocyanoethene;285.32;278.82
CH3CNC;1-Isocyanoethylidene; 527.9; 523.2
CH2C(CHC);3-Methylene-1-cyclopropen-1-yl; 628.3; 625.7
SiO;Oxosilylene;-98.37;-97.21
[SiH3O]-;Silyloxy anion;-311.8;-321.1
CH(CH2CH2CH2);Cyclobutyl;246.59;227.69
CHCCHCCH;1-Ethynyl-2-propyn-1-yl;577.09;575.47
CH3CH2CH2NH2;1-Propanamine; -42.2;-69.94
OS(OH)O;Sulfo;-366.9;-374.7
ONONO;Dioxodiazoxane;    93;  87.9
NNH2;Isodiazene;307.57;300.49
[HNO]+;Oxoammoniumyl;1092.46;1089.54
HOON(O)O;Peroxynitric acid;-41.46;-51.77
NF2NF2;Tetrafluorohydrazine; -13.4; -22.9
C+;Carbon cation;1797.85;1803.44
[CH3NH]-;Methylamidogen anion; 145.4;134.57
CH3N;Methylimidogen;   323; 315.3
[HCNH]+;Iminomethylium; 953.4; 949.3
[HOC(O)O]-;Hydrogen carbonate;-719.2;-725.6
[CH(CH2CH2)]-;Cyclopropylide; 265.4; 252.6
CH3CH2C;Propylidyne; 492.7;   483
C(CH2CH2);Cyclopropylidene;475.06;467.04
[CH2CCH]+;Propargylium;1193.58;1190.77
CH2(CHC);Cycloprop-1-enyl;527.52;523.13
C(CHCH);Cyclopropenylidene;497.09;496.13
[CCCH]+;2-Propyn-1-ylium-1-ylidene;1598.49;1602.87
CH3CH2CHCH3;sec-Butyl; 91.35; 66.59
(CH3)2CHCH2;iso-Butyl; 97.34; 73.35
CH2CHCCH2;1-Methylene-2-propenyl; 327.2; 317.2
OO(H)O;2-Hydrotrioxy; 299.4; 293.7
CH3(CH2)5CH3;n-Heptane;-145.39;-187.26
